方名,text
甘薯粳,"糯米,薯梗,白糖,芝麻"
生化通经汤,"丹参,牛膝,当归,桃仁,红花,泽兰"
地仙丸,"萆薢,白蒺藜,狗脊,乌药,附子,附子,赤小豆,地龙,骨碎补,茴香,羌活,天南星,黄芪,肉苁蓉,牛膝,何首乌,蜀椒,覆盆子,木鳖子"
壮筋养血汤,白芍
地黄煎,"地黄,薄荷,莲藕,鹅梨汁,法酒,白蜜,生姜,柴胡,木香,人参,茯苓,山药,柏子仁,远志,白术,桔梗,枳实,秦艽,麝香,地黄"
老鹳草膏,老鹳草
赤芍地黄汤,"赤芍,牡丹皮,水牛角"
赤芍汤,"赤芍,黄连,槟榔,木香,甘草,大黄,黄芩,肉桂"
何首乌散,何首乌
芎归汤,川芎
防风归芎汤,"川芎,当归,防风,荆芥,羌活,白芷,细辛,蔓荆子,丹参,乳香,没药,桃仁,苏木,泽兰"
人参散,"人参,沉香,桔梗,鳖甲,当归,白术,地黄,芎,茯苓,阿胶,甘草,木香,陈橘皮,黄芪,菊花"
红花酊,红花
红花酊2,"红花,赤芍,紫草,乙醇"
红肉药捻,"京红粉,雄精,珍珠"
红花桃仁汤,红花
百效膏,"藿香,蓖麻子,草乌,荆芥,乌药,桂枝,蜂房,藁本,秦艽,全蝎,枳壳,灵仙,桃仁,黄芩,玄参,木香,独活,杏仁,肉桂,麻黄,白鲜皮,天南星,当归,檀香,僵蚕,附子,牙皂,香附,莱菔子,地黄,苍术,羌活,紫荆皮,贝母,牛膝,白蔹,骨碎补,防风,赤芍,清风藤,苏木,细辛,五加皮,川芎,蝉退,高良姜,大风子,连翘,丁香,甘草,栀子,鳖甲,白芨,续断,红花,紫丁皮,半夏,白芷,苦参,血余,大黄,蜈蚣条,蛇退,槐枝,桃枝,柳枝,桑枝,榆枝,松香,百草霜"
百效膏2,"白芷,当归,玄参,大黄,赤芍,木鳖子,血余,地黄"
百损丸,"破故纸,杜仲,牛膝,续断,肉苁蓉,黑豆,当归,鸡血藤,三七,血琥珀,麒麟竭,沉香"
启宫丸,"芎,半夏,香附,茯苓,神曲,橘红,甘草"
利气丸,"大黄,香附,木香,槟榔,枳壳,青皮,陈皮,莪术,黄连,黄柏"
伸筋膏,"马子,穿山甲,汉防己,乳香,没药,生姜,王不留行,细辛,五加皮,豨签草,独活,草乌,五倍子,肉桂,枳实,牛蒡子,血余,地龙,红娘,全蝎,灵仙,生军,泽兰,丝瓜络,麻黄,土鳖虫,防风,当归,功劳叶,蜈蚣条"
伸筋草洗方,"伸筋草,祁艾,刘寄奴,桑枝,肉桂,苏木,穿山甲,红花"
何首乌丸,"何首乌,赤芍"
何首乌丸2,"何首乌,赤芍,牛膝,地黄"
阳和启脾膏,"党参,黄芪,鹿角,当归,香附,白芍,川芎,独活,附子,干姜,阿魏,橘皮,三棱,川椒,草果仁,肉桂,沉香,丁香"
血府逐瘀汤,"当归,桃仁,红花,枳壳,赤芍,柴胡,甘草,桔梗,川芎,牛膝"
行气活血汤,"葛根,白芷,郁金,枳壳,甘草,红花,泽兰,赤芍,白芍,五味子"
安宫散,"安息香,甘草,当归,附子,乌梅,白芍,乳香"
当归活血汤,"当归,赤芍,红花,紫草,地黄"
妇科散瘀丸,"黄芪,桃仁,川芎,五灵脂,小茴,炮姜,郁金,没药,当归,沉香,白芍,红花,吴萸,姜黄,甘草"
妇科得生丹,"益母草,当归,羌活,木香,柴胡"
妇科金丹,"元胡,人参,阿胶,白薇,白芍,甘草,茯苓,没药,当归,黄柏,鹿角,制松香,乳香,杜仲炭,破故纸,益母膏,锁阳,茴香,菟丝子,血余,艾炭,红白鸡冠花,或不生锈的桶内,将罐口封固,山药,川芎,牡丹皮,地黄,白芷,白术,藁本,黄芩,红花,陈皮,砂仁,木香,续断,青蒿,肉桂,苏叶,益母草,煅赤石脂"
妇科回生丹,"大黄,苏木,黑豆,黄酒,醋,黑豆,大黄,当归,川芎,地黄,茯苓,苍术,香附,乌药,元胡,桃仁,炒蒲黄,牛膝,白芍,广皮,木香,三棱,五灵脂,地榆,羌活,山萸肉,人参,青皮,白术,木瓜,高良姜,没药,乳香,甘草,大黄"
如圣散,"水银,胡粉,蛇床子,黄连"
妇女抽筋丸,"海螺,杜仲,红花,川芎,牛膝,桂枝"
妇宝胜金丹,"人参,白芍,赤芍,川芎,白芷,地黄,茯苓,桂心,牛膝,牡丹皮,藁本,血珀,朱砂,白薇,赤石脂,白石脂,乳香,没药,粉草,香附"
当归汤,"当归,川芎,红花,桃仁,牡丹皮,好苏木"
寻痛丸,"草乌,乳香,没药,五灵脂,生麝香"
八味丸,附子
托里散,"黄芪,木香,赤芍,蝉蜕,肉桂"
收干生肌膏,生肌药粉
阳和丸,"肉桂,附子,麻黄,干姜"
芎汤,当归
百草膏,百草
红血药捻,"京红粉,轻粉,血竭,乳香,蟾酥"
红灵酒,"当归,花椒,肉桂,樟脑,细辛,干姜"
红灵丹,"雄黄,煅月石,青礞石,没药,三梅,火消,朱砂,麝香"
当归四逆加吴茱萸生姜汤,"当归,甘草,通草,桂枝,细辛,生姜,吴茱萸,大枣枚"
当归赤芍汤,"当归,白术,赤芍,茯苓,泽泻,黄芩,辛夷,菊花,地龙,甘草,薄荷,川芎"
八宝止血药墨,"墨,冰片,麝香,熊胆,冰糖,阿胶"
八宝回春汤,"附子,麻黄,黄芩,防己,附子,杏仁,川芎,当归,茯神半,陈皮,防风,白芍,沉香,半夏,川乌,桂,白术,天台乌药,干姜,黄芪,甘草,地黄,地黄"
八宝治红丹,"铁树叶,侧柏叶,大蓟,地黄,荷叶,棕榈炭,橘络,石斛,甘草,陈皮,牡丹皮,地黄,浙贝,黄芩,百合,木通,香墨"
朴沉化郁丸,"木香,砂仁,青皮,柴胡,沉香,元胡,甘草,丁香,檀香,香附,厚朴,枳壳,片姜黄,广皮,莪术,高良姜,肉桂"
当归流浸膏,当归
补益延寿膏,"地黄,当归,防风"
苍术丸,"苍术,吴茱萸,破故纸,胡芦巴,川姜,草乌,山药"
十一味能消丸,"木香,野姜,沙棘膏,诃子,蛇肉,大黄,方海,寒水石,硇砂,碱花"
十八太保英雄丹,"老材香,象皮,血竭,胆南星,红花,防风,白芷,马子,海螵蛸,麻,乳香,没药,雄土元,生龙骨,当归,菖蒲,蟹骨,麝香"
苍耳膏,"当归,赤芍,地黄,防风,白术,羌活,苍术,苍耳草"
苏合香丸,"苏合香,木香,水牛角,当门子,梅冰,香附,乳香,上沉香,丁香,冬术"
补骨脂酊,补骨脂
苏气汤,"乳香,苏叶,荆芥,当归,牡丹皮,大黄,桃仁,羊踯躅,山羊血,白芍"
附子木瓜煎丸,"附子,去子,入艾青,牛膝,白术,薏苡仁,羌活,杜仲,续断,萆薢,防风,五加皮,地黄"
身痛逐瘀汤,"秦艽,桃仁,红花,甘草,羌活,没药,当归,灵脂,香附,牛膝,地龙"
皂角六一丸,"川乌,乌药,乌豆,何首乌,皂角刺,乌梅"
杜仲木香散,"杜仲,肉桂"
补肝汤,"当归,地黄,赤芍,川芎,酸枣仁,木瓜,甘草"
没药膏,"乳香,血竭,木鳖子,当归,杏仁,乳油头发,黄丹,麻油"
弃杖散,"当归,紫荆皮,细辛,大黄,生川乌,皂角,肉桂,透骨草,丁香,白芷,红花"
羌活汤,"羌活,黄芩,当归,赤芍半,茯苓,半夏,香附,木香,陈皮,甘草"
羌防行痹汤,"羌活,秦艽,续断,威灵仙,当归,乳香,没药,红花"
万应锭,"胆南星,天竺黄,大戟,千金子霜,延胡索,象贝母,黄连,半夏,明天麻,建神曲,毛慈姑,陈京墨,黄连,麒麟竭,净腰黄,真熊胆,麝香,大梅片"
万应膏,"白芷,木鳖子,肉桂,大黄,血余,当归,赤芍,地黄"
肝病复原丹,"柴胡,木香,香附,桃仁,当归,三棱,莪术,姜黄,延胡索,红花"
肝胃百合汤,"柴胡,乌药,川楝子,郁金,百合,丹参"
灵应愈风丹,"当归,首乌,荆芥,防风,麻黄,石斛,甘草,羌活,独活,苍术,白芷,川乌,草乌,川芎"
疔痈方,"穿山甲,皂角刺,乳香,没药,天花粉,知母"
皂矾煎,皂矾
万灵筋骨膏,"大黄,香附,穿山甲,全蝎,羌活,防风,杏仁,芫花细辛,牵牛,土鳖虫,厚朴,甘遂,木鳖子,三棱,莪术,川乌,天麻子,地黄,草乌,独活,猪牙皂角,黄柏,肉桂,大戟,枳壳,麻黄,巴豆,当归,玄参,黄连,柳枝,蕲蛇,蜈蚣"
万灵膏,"鹳筋草,丁香,当归,自然铜,瓜儿,血竭,没药,川芎,赤芍,枚,红花,牛膝,五加皮,石菖蒲,茅山,苍术,木香,秦艽,蛇床子,肉桂,附子,半夏,石斛,萆薢,鹿茸,虎骨,麝香"
万病无忧酒,"当归,白芷,白芍,防风,羌活,荆芥,地骨皮,牛膝,杜仲,木瓜,茴香,破故纸,五加皮,威灵仙,钩藤,石楠藤,乌药,紫金皮,自然铜,木香,乳香,没药,甘草,黑豆"
万病无忧酒2,"防风,五灵脂,牛膝,台芎,荆芥,甘草,天台乌药,茴香,木瓜,地骨皮,乳香,没药,木香,羌活,赤芍,五加皮,破故纸,自然铜,威灵仙,当归,紫荆皮,杜仲,黑小豆"
驱毒保脱汤,"当归,桂心,甘草,黑炮姜,麻黄,乳香,没药"
鸡血藤,"鸡血藤,续断,红花,黑豆,糯米,饴糖"
驳骨丹,"自然铜,没药,土鳖"
龟版胶,"龟版,甘草,冰糖,黄酒,阿胶,香油"
